콘텐츠명,등급,장애인전용객실여부,애완동물동반허용여부,조식제공여부,부대시설기타,LATE체크인여부,셔틀버스운행여부
엠버퓨어힐호텔&리조트,0,X,O,X,정보 없음,X,X
오롯 바이 에퀴녹스,0,X,O,X,정보 없음,X,X
하늘오름펜션,0,X,O,X,정보 없음,X,X
라임오렌지빌,0,X,O,X,정보 없음,X,X
리빙스톤펜션,0,X,O,X,정보 없음,X,X
마녀의언덕 펜션,0,X,O,X,정보 없음,X,X
온더스톤펜션,0,X,O,X,정보 없음,X,X
세난포레스트,0,X,X,X,정보 없음,O,X
캐슬 드 한림,1,X,X,X,정보 없음,X,X
제주더힐링하우스,0,X,O,X,공용건조기 시설,O,X
스테이제주이음,0,X,X,X,정보 없음,X,X
네모스테이,0,X,X,X,정보 없음,X,X
제주벨루가,0,X,X,X,"공용 게임장, 노래방, 골프 야구연습장, 축구, 낚시대무료대여 ",X,X
더칠린,0,X,O,X,정보 없음,X,X
크리스마스리조트,0,X,O,X,정보 없음,X,X
고성2119펜션위플레이독,0,X,O,X,정보 없음,X,X
에메랄드하우스,0,X,O,X,정보 없음,X,X
제주와싱톤,0,X,O,X,정보 없음,X,X
캐슬드한림,0,X,X,X,노천탕,O,X
신신호텔 서귀포,4,X,X,O,정보 없음,O,X
신신호텔 제주오션,4,X,X,O,정보 없음,X,X
신신호텔 제주공항,4,X,X,O,정보 없음,X,X
제주구도,0,X,X,X,정보 없음,X,X
선흘 동백동산 에코촌 유스호스텔,0,O,X,X,"야외무대, 잔디광장, 공중화장실",O,X
썬 웰니스캠프,0,X,X,X,카페 ,O,X
신라스테이 플러스 이호테우,0,X,X,X,정보 없음,X,X
제주하늘바다,0,X,X,X,정보 없음,X,X
머큐어 앰배서더 제주,4,X,X,O,가라오케 룸,X,X
벨룸리조트,5,X,X,O,정보 없음,X,X
노꼬메펜션캠핑장,0,X,O,O,어린이 놀이시설/편의점,O,X
디어마이프렌즈,0,X,O,X,정보 없음,X,X
팜파스 호텔 제주,3,O,X,X,정보 없음,X,X
제주그믐,0,X,X,X,정보 없음,X,X
"하도야비어, 하도야베드민박",0,X,O,X,정보 없음,X,X
그레이스힐링,0,X,X,X,데크 자쿠지,X,X
담모라 호텔앤리조트,0,X,X,O,GS편의점/야외BBQ/무인라면가게/산방산치킨,O,X
코너스톤 스테이,0,X,X,X,"세탁기, 건조기 ",X,X
스테이어 리틀롱거,0,X,X,X,정보 없음,O,X
금능이큐스테이호텔,0,X,O,X,정보 없음,X,X
옵데가 바이 에퀴녹스,0,X,O,X,정보 없음,X,X
제주애물들다,0,X,O,X,정보 없음,X,X
제주애빛나다,0,X,O,X,정보 없음,X,X
제주애설레다,0,X,O,X,정보 없음,X,X
리틀화이트(폐업),0,X,O,X,정보 없음,X,X
애견동반 상추네,0,X,O,X,정보 없음,X,X
아란치아,0,X,O,X,정보 없음,X,X
일이오구스튜디오(폐업),0,X,O,X,정보 없음,X,X
제이펜션,0,X,O,X,정보 없음,X,X
드라마2015펜션,0,X,X,X,주차장,X,X
담제,0,X,X,X,정보 없음,X,X
휴양펜션 돌과바람,0,X,X,X,정보 없음,X,X
안트레 펜션,0,X,X,X,정보 없음,X,X
쥬빌리펜션,0,X,X,X,정보 없음,X,X
도일모텔,0,X,X,X,정보 없음,X,X
빠담빠담게스트하우스,0,X,X,X,정보 없음,X,X
쇠소깍올레민박,0,X,X,X,정보 없음,X,X
Jeju in aA게스트하우스,0,X,X,X,정보 없음,X,X
블랑게스트하우스,0,X,X,X,정보 없음,X,X
엘마르게스트하우스,0,X,X,X,정보 없음,X,X
중문스테이,0,X,X,X,정보 없음,X,X
달달하우스,0,X,X,X,정보 없음,X,X
보타니1596,0,X,X,X,정보 없음,X,X
비비엔다(폐업),0,X,X,X,정보 없음,X,X
비안,0,X,X,X,정보 없음,X,X
제주샘모루펜션,0,X,X,X,정보 없음,X,X
이쁜새펜션,0,X,X,X,정보 없음,X,X
끄라비펜션,0,X,X,X,정보 없음,X,X
제주도유,0,X,X,X,정보 없음,X,X
제주 해피펜션,0,X,X,X,정보 없음,X,X
덕후게스트하우스,0,X,X,X,정보 없음,X,X
골든튤립호텔,0,X,X,X,정보 없음,X,X
건축학개론펜션,0,X,X,X,정보 없음,X,X
초원게스트하우스,0,X,X,X,정보 없음,X,X
오름게스트하우스,0,X,X,X,정보 없음,X,X
달빛정원게스트하우스,0,X,X,X,정보 없음,X,X
코시롱게스트하우스,0,X,X,X,정보 없음,X,X
팜핑제주,0,X,X,X,정보 없음,X,X
브릭216,0,X,X,X,정보 없음,X,X
블라제리조트,0,X,X,X,정보 없음,X,X
섭지코지하우스,0,X,X,X,정보 없음,X,X
천상의노을,0,X,X,X,정보 없음,X,X
라메종베니 두지엠,0,X,X,X,정보 없음,X,X
로즈비치,0,X,X,X,정보 없음,X,X
더캐슬,0,X,X,X,정보 없음,X,X
동막골펜션,0,X,X,X,정보 없음,X,X
비오하우스,0,X,X,X,정보 없음,X,X
나무이야기게스트하우스,0,X,X,X,정보 없음,X,X
놀이터게스트하우스,0,X,X,X,정보 없음,X,X
선샤인호텔,0,X,X,X,정보 없음,X,X
에스호텔,0,X,X,X,정보 없음,X,X
호텔펄리플러스,0,X,X,X,정보 없음,X,X
제주 메이 더 호텔 카라반빌리지,0,X,X,X,정보 없음,X,X
제주필하우스,0,X,X,X,정보 없음,X,X
제주베스트힐 펜션&글램핑,0,X,X,X,정보 없음,X,X
나인스파빌,0,X,X,X,정보 없음,X,X
펄호텔제주,0,X,X,O,정보 없음,X,X
엠버호텔 센트럴,0,X,X,X,정보 없음,X,X
프라이빗리조트,0,X,X,X,정보 없음,X,X
로그하우스,0,X,X,X,정보 없음,X,X
바다올레,0,X,X,X,정보 없음,X,X
범섬풍경,0,X,X,X,정보 없음,X,X
와락 게스트하우스,0,X,X,X,정보 없음,X,X
제주금산펜션,0,X,X,X,정보 없음,X,X
안녕제주,0,X,X,X,정보 없음,X,X
언니게스트하우스,0,X,X,X,정보 없음,X,X
라오체리조트,0,X,X,X,정보 없음,X,X
글라라의집,0,X,X,X,정보 없음,X,X
산방산클립게스트하우스,0,X,X,X,정보 없음,X,X
안나106,0,X,X,X,정보 없음,X,X
베이힐 풀앤빌라,0,X,X,X,정보 없음,X,X
아이리스호텔,0,X,X,X,정보 없음,X,X
포지타노인제주,0,X,X,X,정보 없음,X,X
오랑제리펜션,0,X,X,X,정보 없음,X,X
디아일랜드마리나,0,X,X,X,정보 없음,X,X
메종드오조락,0,X,X,X,정보 없음,X,X
물메랑,0,X,X,X,정보 없음,X,X
보물섬,0,X,X,X,정보 없음,X,X
삼보민박,0,X,X,X,정보 없음,X,X
굿데이 펜션,0,X,X,X,정보 없음,X,X
노을과포도향기,0,X,X,X,정보 없음,X,X
드림캐슬,0,X,X,X,정보 없음,X,X
메이더호텔,0,X,X,X,정보 없음,X,X
섬타임즈제주,0,X,X,X,정보 없음,X,X
노블레스호텔,0,X,X,X,정보 없음,X,X
봄 그리고 가을리조트 ,0,X,X,X,정보 없음,O,X
송정게스트하우스,0,X,X,X,정보 없음,X,X
디오션힐,0,X,X,X,정보 없음,X,X
아이존호텔,0,X,X,X,정보 없음,X,X
호텔W,0,X,X,X,정보 없음,X,X
탱자탱자게스트하우스,0,X,X,X,정보 없음,X,X
스카이워커,0,X,X,X,정보 없음,X,X
비지터게스트하우스,0,X,X,X,정보 없음,X,X
랑 글램핑,0,X,X,X,정보 없음,X,X
쉼게스트하우스,0,X,X,X,정보 없음,X,X
플로라제이드림호텔,0,X,X,X,정보 없음,X,X
다올제민박,0,X,X,X,정보 없음,X,X
Oh! 세화! (오세화게스트하우스),0,X,X,X,정보 없음,X,X
올리수펜션,0,X,X,X,정보 없음,O,X
제주스테이비우다,0,X,X,X,정보 없음,X,X
메이저호텔,0,X,X,X,정보 없음,X,X
여울목게스트하우스(월정리),0,X,X,X,정보 없음,X,X
1915 지오하우스,0,X,X,X,정보 없음,X,X
나무사이로햇살이,0,X,X,X,정보 없음,X,X
제주에살다,0,X,X,X,정보 없음,X,X
고망난돌민박가든,0,X,X,X,정보 없음,X,X
사차원게스트하우스,0,X,X,X,정보 없음,X,X
롯데리조트제주 아트빌라스,0,X,X,X,정보 없음,X,X
알로하민박,0,X,X,X,정보 없음,X,X
활엽수 게스트하우스,0,X,X,X,정보 없음,X,X
고불락하우스,0,X,X,X,정보 없음,X,X
도도펜션,0,X,X,X,정보 없음,X,X
발리호텔,0,X,X,X,정보 없음,X,X
친친하우스,0,X,X,X,정보 없음,X,X
김녕한옥 용암정원,0,X,X,X,정보 없음,X,X
나미송 머무는 곳,0,X,X,X,정보 없음,X,X
휘닉스 아일랜드 제주,0,X,X,X,정보 없음,X,X
린든호스텔,0,X,X,X,정보 없음,X,X
제주파인비치펜션,0,X,X,X,정보 없음,X,X
함덕삼다펜션,0,X,X,X,정보 없음,X,X
스톤성민박,0,X,X,X,정보 없음,X,X
제주 야원독채펜션,0,X,X,X,정보 없음,X,X
파도봐 펜션,0,X,X,X,정보 없음,X,X
쉼표있는뜨락,0,X,X,X,정보 없음,X,X
슬리퍼게스트하우스,0,X,X,X,정보 없음,X,X
약천골민박,0,X,X,X,정보 없음,X,X
푸르미르 펜션,0,X,X,X,정보 없음,X,X
한옥호텔 한라궁,0,X,X,X,정보 없음,X,X
구름비낭펜션,0,X,X,X,정보 없음,X,X
숨게스트하우스 제주공항점,0,X,X,X,정보 없음,X,X
제주KAL호텔,5,X,X,X,정보 없음,X,X
제주야자원,0,X,X,X,정보 없음,X,X
연이네다락방 게스트하우스,0,X,X,X,정보 없음,X,X
오션하우스,0,X,X,X,정보 없음,X,X
웰리조트,0,X,X,X,정보 없음,X,X
허브펜션 오즈,0,X,X,X,정보 없음,X,X
제주솔향기펜션,0,X,X,X,정보 없음,X,X
토끼섬게스트하우스,0,X,X,X,정보 없음,X,X
토리코티지카레클린트,0,X,X,X,정보 없음,X,X
한옥휴양타운펜션,0,X,X,X,정보 없음,X,X
몽쉘게스트하우스,0,X,X,X,정보 없음,X,X
더클라우드호텔,0,X,X,X,정보 없음,X,X
토마스하우스,0,X,X,X,정보 없음,X,X
제주통나무휴양펜션,0,X,X,X,정보 없음,X,X
A COTE 아꼬떼하우스,0,X,X,X,정보 없음,X,X
호텔레오,4,X,X,X,정보 없음,X,X
그린사이드펜션,0,X,X,X,정보 없음,X,X
뉴그린모텔,0,X,X,X,정보 없음,X,X
쁘띠제주빅터,0,X,X,X,정보 없음,X,X
달빛바다펜션,0,X,X,X,정보 없음,X,X
편백나무 한옥펜션 먼나머루,0,X,X,X,정보 없음,X,X
BK호텔제주,0,X,X,X,정보 없음,X,X
까사올라게스트하우스,0,X,X,X,정보 없음,X,X
나무이야기게스트하우스 3호점,0,X,X,X,정보 없음,X,X
미도모텔,0,X,X,X,정보 없음,X,X
이야기별방,0,X,X,X,정보 없음,X,X
제주나인부띠끄호텔,0,X,X,X,정보 없음,X,X
바우하우스,0,X,X,X,정보 없음,X,X
사쿠라모텔,0,X,X,X,정보 없음,X,X
햇살정원 제주캠핑,0,X,X,X,정보 없음,X,X
동해모텔,0,X,X,X,정보 없음,X,X
쏠레 민박,0,X,X,X,정보 없음,X,X
하루앤하루,0,X,X,X,정보 없음,X,X
이로제주,0,X,X,X,정보 없음,X,X
해뜨는집 (남원),0,X,X,X,정보 없음,X,X
우리두리게스트하우스,0,X,X,X,정보 없음,X,X
부르네스테이,0,X,X,X,정보 없음,X,X
제주인호텔,0,X,X,X,정보 없음,X,X
씨엘블루호텔,0,X,X,X,정보 없음,X,X
씨앤호텔,0,X,X,X,정보 없음,X,X
베니키아호텔제주,0,X,X,X,정보 없음,X,X
재즈마을리조트,0,X,X,X,정보 없음,X,X
해성펜션,0,X,X,X,정보 없음,X,X
호끌락80번지,0,X,X,X,정보 없음,X,X
제주황토펜션,0,X,X,X,정보 없음,X,X
파파야게스트하우스 펜션,0,X,X,X,정보 없음,X,X
스프링데일골프앤리조트,0,X,X,X,정보 없음,X,X
미라클게스트하우스,0,X,X,X,정보 없음,X,X
애월애휴양펜션,0,X,X,X,정보 없음,X,X
달빛빌리지,0,X,X,X,정보 없음,X,X
루시드엠,0,X,X,X,정보 없음,X,X
꿀잠자리,0,X,X,X,정보 없음,X,X
아리,0,X,X,X,정보 없음,X,X
폴리폴리,0,X,X,X,정보 없음,X,X
대명리조트 제주,0,X,X,X,정보 없음,X,X
코자호텔,0,X,X,X,정보 없음,X,X
메종드판포,0,X,X,X,정보 없음,X,X
유월그리고열두마루,0,X,X,X,정보 없음,X,X
패밀리아펜션,0,X,X,X,정보 없음,X,X
클로버비앤비,0,X,X,X,정보 없음,X,X
중문훼미리리조트,0,X,X,X,정보 없음,X,X
엘린호텔,0,X,X,X,정보 없음,X,X
모두올레 애견펜션,0,X,X,X,정보 없음,X,X
여행스케치,0,X,X,X,정보 없음,X,X
하녹펜션,0,X,X,X,정보 없음,X,X
더뷰리조트,0,X,X,X,정보 없음,X,X
라파로마휴양펜션,0,X,X,X,정보 없음,X,X
포시즌호텔,0,X,X,X,정보 없음,X,X
초,0,X,X,X,정보 없음,X,X
성산아침노을펜션,0,X,X,X,정보 없음,X,X
제주이야기펜션,0,X,X,X,정보 없음,X,X
오리엔탈호텔,5,X,X,X,정보 없음,X,X
호텔난타,0,X,X,X,정보 없음,X,X
제주애,0,X,X,X,정보 없음,X,X
레이크힐스 제주 리조트,0,X,X,X,정보 없음,X,X
그림같은집,0,X,X,X,정보 없음,X,X
소랑풀빌라,0,X,X,X,정보 없음,X,X
중문빌리지펜션,0,X,X,X,정보 없음,X,X
산토리니 펜션,0,X,X,X,정보 없음,X,X
도원펜션,0,X,X,X,정보 없음,X,X
애월포구풍경,0,X,X,X,정보 없음,X,X
바다와 공원,0,X,X,X,정보 없음,X,X
소담펜션,0,X,X,X,정보 없음,X,X
제주란펜션,0,X,X,X,정보 없음,X,X
비레이지,0,X,X,X,정보 없음,X,X
헤리티지,0,X,X,X,정보 없음,X,X
아쿠아뷰티크,0,X,X,X,정보 없음,X,X
돈내코힐 리조트,0,X,X,X,정보 없음,X,X
리치웨이 펜션,0,X,X,X,정보 없음,X,X
쉴만한 물가,0,X,X,X,정보 없음,X,X
일출썬 펜션,0,X,X,X,정보 없음,X,X
제주성산골든튤립호텔,0,X,X,X,정보 없음,X,X
황토골,0,X,X,X,정보 없음,X,X
제주공항 고추잠자리 게스트하우스,0,X,X,X,정보 없음,X,X
하얀도화지,0,X,X,X,정보 없음,X,X
제주바다펜션,0,X,X,X,정보 없음,X,X
인제주,0,X,X,X,정보 없음,X,X
엠스테이호텔,0,X,X,X,정보 없음,X,X
제주코기네,0,X,X,X,정보 없음,X,X
하도리일번지,0,X,X,X,정보 없음,X,X
소풍BnB,0,X,X,X,정보 없음,X,X
아버지의 바다,0,X,X,X,정보 없음,X,X
바다숨소리스파펜션,0,X,X,X,정보 없음,X,X
바당정원펜션,0,X,X,X,정보 없음,X,X
나날 게스트하우스,0,X,X,X,정보 없음,X,X
동양콘도,0,X,X,X,정보 없음,X,X
꿈꾸는섬 게스트하우스,0,X,X,X,정보 없음,X,X
비고르,0,X,X,X,정보 없음,X,X
아라벨롱 게스트하우스,0,X,X,X,정보 없음,X,X
제주휴리조트(폐업),0,X,X,X,정보 없음,X,X
해바라기 펜션,0,X,X,X,정보 없음,X,X
오빌하우스,0,X,X,X,정보 없음,X,X
제주마리나관광호텔,3,X,X,X,정보 없음,X,X
펜션연리,0,X,X,X,정보 없음,X,X
포시즌펜션,0,X,X,X,정보 없음,X,X
금서방네이층집,0,X,X,X,정보 없음,X,X
해성파크텔,0,X,X,X,정보 없음,X,X
제주부영호텔엔리조트,0,X,X,X,정보 없음,X,X
테디밸리 골프앤리조트,0,X,X,X,정보 없음,X,X
아스타호텔,0,X,X,X,정보 없음,X,X
뉴크라운호텔,0,X,X,X,정보 없음,X,X
제주 호텔 더원,0,X,X,X,정보 없음,X,X
디아넥스 호텔,0,X,X,X,정보 없음,X,X
비파민박,0,X,X,X,정보 없음,X,X
제주아이비호텔,0,X,X,X,정보 없음,X,X
아올키즈펜션,0,X,X,X,정보 없음,X,X
빌림,0,X,X,X,정보 없음,X,X
산호상점&하우스,0,X,X,X,정보 없음,X,X
여래게스트하우스,0,X,X,X,정보 없음,X,X
더블루제주호텔,0,X,X,X,정보 없음,X,X
라벤다호텔,0,X,X,X,정보 없음,X,X
바다해호텔,0,X,X,X,정보 없음,X,X
피노호텔,0,X,X,X,정보 없음,X,X
호텔 리젠트마린,0,X,X,X,정보 없음,X,X
레지나펜션,0,X,X,X,정보 없음,X,X
동도리동하우스,0,X,X,X,"주차장,개별테라스",X,X
제주블루앤씨펜션,0,X,O,X,정보 없음,X,X
자장자장펜션,0,X,X,X,정보 없음,X,X
한화리조트 제주,0,O,O,X,정보 없음,X,X
제주동문게스트하우스,0,X,X,X,"1층 편의점, 7층 휴게실, 빨래방(유료) 운영",X,X
디포레카라반파크,0,X,X,X,정보 없음,X,X
adc,1,O,X,O,1,O,X
다인리조트,0,X,X,O,"야외라이브가든(BBQ), 야외수영장, 키즈풀장, 비즈니스실, 세미나장, ",X,X
아를하우스,0,X,X,X,정보 없음,X,X
제주영숙,0,X,X,X,정보 없음,X,X
다인오세아노 호텔,4,X,X,X,정보 없음,X,X
바랑쉬게스트하우스,0,X,X,X,정보 없음,O,X
서귀포호텔  카라반,0,X,X,X,정보 없음,X,X
제주리조트,3,X,X,X,정보 없음,O,X
제주파인비치카라반,0,X,X,X,정보 없음,X,X
성게돌 펜션 ,0,X,O,X,정보 없음,O,X
호텔 스카브로,0,X,X,O,정보 없음,O,X
안녕김녕sea,0,X,X,X,카페'낯선여유',O,X
러브제주게스트하우스 산방산지점,0,X,X,X,카페,O,X
서건도 카라반,0,X,O,X,정보 없음,O,X
러블리에스메랄다,0,X,X,X,정보 없음,O,X
제주가좋아서 펜션,0,X,X,X,정보 없음,X,X
혼디펜션,0,X,X,X,정보 없음,O,X
하원가휴양펜션,0,X,X,X,"원목그네,엘리베이터",O,X
느르왓 민박,0,X,X,X,정보 없음,X,X
썬앤문리조트,0,X,X,X,정보 없음,X,X
솔로게스트하우스 앤 두루두루펜션,2,X,O,X,정보 없음,X,X
에코그린리조트,3,O,X,O,정보 없음,O,X
에코힐링하우스,1,X,O,X,정보 없음,O,X
그린트리인서귀포호텔,2,O,X,O,정보 없음,O,X
하마다 게스트하우스,0,X,X,X,정보 없음,X,X
바람이분다 게스트하우스,0,X,X,X,정보 없음,X,X
바르게스트하우스,0,X,X,X,정보 없음,X,X
언니네여인숙,0,X,X,X,정보 없음,X,X
오조리337 게스트하우스,0,X,X,X,정보 없음,X,X
개스트하우스 말2,0,X,O,X,정보 없음,X,X
하도하도 3200,0,X,X,X,정보 없음,X,X
조천댁,0,X,X,X,정보 없음,X,X
더프라이빗,0,X,X,X,정보 없음,X,X
스테이달하,0,X,X,X,정보 없음,X,X
위미모루왓,0,X,X,X,텃밭,O,X
제주해나루,0,X,X,X,정보 없음,O,X
하이디펜션,0,X,X,X,정보 없음,X,X
더블루민박,0,X,X,X,정보 없음,X,X
하티게스트하우스,0,X,X,X,정보 없음,X,X
코즈게스트하우스,5,X,X,O,전기차충전기,O,X
가비오타 펜션,0,X,X,X,정보 없음,O,X
월정플레이스,0,X,X,X,정보 없음,O,X
뜨레향 펜션,0,X,X,X,정보 없음,O,X
눈의꽃 하우스,0,X,X,X,정보 없음,O,X
언덕위에 빨간지붕,0,X,X,X,정보 없음,O,X
아템파우제,0,X,X,X,정보 없음,X,X
라신비,0,X,X,X,정보 없음,X,X
뉴제주호텔,0,X,X,X,정보 없음,X,X
블루팜파크,0,X,X,X,정보 없음,X,X
에코힐글램핑,0,X,X,X,정보 없음,X,X
숲골 독채펜션,0,X,X,X,정보 없음,X,X
조용한 게스트하우스 산방산점,0,X,X,X,정보 없음,X,X
휴일기록,0,X,X,X,정보 없음,X,X
제주푸른호텔,3,O,X,X,"각 객실 드럼세탁기 비치,주차장완비,",X,X
제주와일드,0,X,X,X,정보 없음,X,X
신신호텔 제주월드컵,4,X,X,O,정보 없음,O,X
롯데리조트 제주 아트빌라스,0,X,O,X,정보 없음,X,O
해뜨는초록마을펜션,0,X,X,X,간이골프연습장,O,X
이븐하게 익은 제주 프리미엄 숙소1,0,X,X,X,정보 없음,X,X
신신호텔 천지연,4,X,X,O,정보 없음,X,X
파미에 애월,0,X,X,X,정보 없음,X,X
제주은빌레 휴양펜션,0,X,X,O,정보 없음,X,X
디아일랜드블루호텔,0,X,X,O,"레스토랑, 셀프세탁실, 편의점, 안마의자, ",X,X
청수곶,0,X,X,X,정보 없음,X,X
애월하타,0,X,O,X,정보 없음,X,X
훈데르트힐즈,0,X,X,O,정보 없음,X,X
제주봄 뮤지엄 스테이,3,X,X,O,미술관,O,X
더맨션 이이공공,0,X,O,X,정보 없음,X,X
하이제인,0,X,X,X,공용공간,X,X
JW 메리어트 제주 리조트 & 스파,0,X,X,X,정보 없음,X,X
기린빌라리조트,0,O,O,X,정보 없음,X,X
